0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,5,0,0,0,0,1,0,0,0
24,41,44,147,255,243,88,56,44,19,22,5
67,87,103,296,839,974,541,268,157,88,70,31
65,102,151,306,667,998,1309,790,403,288,224,160
33,46,26,40,178,167,287,380,255,135,123,70
7,16,25,27,66,74,97,103,115,126,99,46
4,4,7,11,4,32,18,24,9,11,19,14
0,0,2,4,4,0,4,8,6,8,6,7
0,0,0,0,1,2,1,0,1,2,0,0
